Algorithm,classification,train_acc,train_prec,train_rec,train_f1,val_acc,val_prec,val_rec,val_f1,test_acc,test_prec,test_rec,test_f1
Naive Bayes,PR,0.8544776119402985,0.8594423873162629,0.8544776119402985,0.8555096264690103,0.34782608695652173,0.12098298676748583,0.34782608695652173,0.17952314165497896,0.3,0.09,0.3,0.13846153846153844
Decision Tree,PR,0.664179104477612,0.6653054173576562,0.664179104477612,0.6647054389629606,0.7608695652173914,0.7647940735514596,0.7608695652173914,0.7624662245148611,0.6428571428571429,0.6477272727272728,0.6428571428571429,0.6451690242148166
KNN,PR,0.6380597014925373,0.6276359978032339,0.6380597014925373,0.6280320186724763,0.6086956521739131,0.6204278812974465,0.6086956521739131,0.6134579768939059,0.6428571428571429,0.6071428571428571,0.6428571428571429,0.619047619047619
Logistic Regression,PR,0.8880597014925373,0.8885116568321185,0.8880597014925373,0.8869646549961995,0.8260869565217391,0.8269394714407502,0.8260869565217391,0.8190993788819875,0.6428571428571429,0.6678321678321678,0.6428571428571429,0.6522534889041409
Random Forest,PR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7285714285714285,0.7140625,0.7285714285714285,0.6711897738446411
SVM,PR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7142857142857143,0.7971014492753624,0.7142857142857143,0.6086286594761171
Naive Bayes,PR_ER,0.9365671641791045,0.9363669896449038,0.9365671641791045,0.9364518182820943,0.2826086956521739,0.31681833501853723,0.2826086956521739,0.16789800588427592,0.2714285714285714,0.8612244897959184,0.2714285714285714,0.23331868131868133
Decision Tree,PR_ER,0.996268656716418,0.9963147226828819,0.996268656716418,0.9962752696146596,0.9565217391304348,0.9619565217391305,0.9565217391304348,0.9572697522206638,0.6714285714285714,0.7675168494779966,0.6714285714285714,0.7058503401360544
KNN,PR_ER,0.75,0.7416632639172451,0.75,0.7092315845257021,0.6739130434782609,0.6551101072840203,0.6739130434782609,0.6616482803374434,0.7428571428571429,0.6732142857142858,0.7428571428571429,0.7063231850117095
Logistic Regression,PR_ER,0.9552238805970149,0.9571977831262801,0.9552238805970149,0.9556700379573965,0.9565217391304348,0.9619565217391305,0.9565217391304348,0.9572697522206638,0.8571428571428571,0.891941391941392,0.8571428571428571,0.8675324675324675
Random Forest,PR_ER,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8285714285714286,0.686530612244898,0.8285714285714286,0.7508928571428571
SVM,PR_ER,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7714285714285715,0.7862244897959183,0.7714285714285715,0.7782147676884519
Naive Bayes,PR_ER_HER2,0.914179104477612,0.9292149067745387,0.914179104477612,0.9187861266528082,0.15217391304347827,0.9036561264822135,0.15217391304347827,0.1050948185138565,0.24285714285714285,0.6347402597402597,0.24285714285714285,0.15397722177383194
Decision Tree,PR_ER_HER2,0.9365671641791045,0.9349918029987363,0.9365671641791045,0.9355709473021012,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.6714285714285714,0.6792328042328043,0.6714285714285714,0.6752209022111361
KNN,PR_ER_HER2,0.8768656716417911,0.8630421478114829,0.8768656716417911,0.8650510772364193,0.9130434782608695,0.9015840916750927,0.9130434782608695,0.9032091097308489,0.7,0.6015625,0.7,0.6470588235294118
Logistic Regression,PR_ER_HER2,0.917910447761194,0.9175528744917825,0.917910447761194,0.9079318713635214,0.9782608695652174,0.9787784679089028,0.9782608695652174,0.9771840987136953,0.7571428571428571,0.6123949579831933,0.7571428571428571,0.6771196283391405
Random Forest,PR_ER_HER2,0.996268656716418,0.9962850222571353,0.996268656716418,0.9962497241104208,1.0,1.0,1.0,1.0,0.7857142857142857,0.6173469387755102,0.7857142857142857,0.6914285714285714
SVM,PR_ER_HER2,0.9850746268656716,0.9853330748853137,0.9850746268656716,0.9847571012923292,1.0,1.0,1.0,1.0,0.7285714285714285,0.6071428571428571,0.7285714285714285,0.6623376623376623
