test_acc,test_prec,test_rec,test_f1,Algorithm,classification
0.7142857142857143,0.7971014492753624,0.7142857142857143,0.6086286594761171,SVM,PR
0.7142857142857143,0.6043956043956044,0.7142857142857143,0.6547619047619047,SVM,PR_HER2
0.8,0.7333333333333334,0.8,0.7564516129032258,SVM,PR_HER2_ER
