test_acc,test_prec,test_rec,test_f1,Algorithm,classification
0.7365269461077845,0.6672369546621044,0.7365269461077845,0.658375643080037,Random Forest,ER
0.6826347305389222,0.6789670658682635,0.6826347305389222,0.6807833575057491,SVM,ER_HER2
0.6407185628742516,0.5473357083301751,0.6407185628742516,0.5422452246118347,Random Forest,ER_HER2_PR
