Algorithm,classification,train_acc,train_prec,train_rec,train_f1,val_acc,val_prec,val_rec,val_f1,test_acc,test_prec,test_rec,test_f1
Naive Bayes,ER,0.7835820895522388,0.773877238935127,0.7835820895522388,0.7695849112645725,0.5217391304347826,0.5217391304347826,0.5217391304347826,0.5217391304347826,0.7,0.7760932944606415,0.7,0.7282922684791844
Decision Tree,ER,0.8283582089552238,0.832666465779968,0.8283582089552238,0.830068478836686,0.8478260869565217,0.8781252648529536,0.8478260869565217,0.8529063665393805,0.5285714285714286,0.7075032494387333,0.5285714285714286,0.5865534130218858
KNN,ER,0.7164179104477612,0.6851125727295725,0.7164179104477612,0.6717021362191737,0.7608695652173914,0.7525083612040133,0.7608695652173914,0.7328026127781179,0.7428571428571429,0.7029953917050692,0.7428571428571429,0.7214285714285715
Logistic Regression,ER,0.7313432835820896,0.7164994698637959,0.7313432835820896,0.676425564485266,0.7391304347826086,0.7246376811594202,0.7391304347826086,0.7014492753623188,0.7714285714285715,0.7377880184331798,0.7714285714285715,0.7523809523809523
Random Forest,ER,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7571428571428571,0.7489324235086947,0.7571428571428571,0.752901205075118
SVM,ER,0.8097014925373134,0.8503091238368826,0.8097014925373134,0.7765465477117773,0.8260869565217391,0.8608695652173913,0.8260869565217391,0.8009661835748794,0.8142857142857143,0.7696703296703297,0.8142857142857143,0.7813349730135957
Naive Bayes,ER_PR,0.8694029850746269,0.8703179952770709,0.8694029850746269,0.8676561869536351,0.7391304347826086,0.7482746721877157,0.7391304347826086,0.7423053179292707,0.8,0.8030816640986134,0.8,0.7780092592592591
Decision Tree,ER_PR,0.914179104477612,0.9226773557477799,0.914179104477612,0.9120731421426896,0.9782608695652174,0.9789621318373072,0.9782608695652174,0.9780884280229003,0.8285714285714286,0.8310391363022942,0.8285714285714286,0.8148723640399557
KNN,ER_PR,0.7574626865671642,0.7648327077742162,0.7574626865671642,0.7442522252213409,0.7608695652173914,0.7546366676801459,0.7608695652173914,0.7541943314057257,0.7857142857142857,0.7801724137931035,0.7857142857142857,0.7655055225148684
Logistic Regression,ER_PR,0.8656716417910447,0.8717688730261735,0.8656716417910447,0.8621652915828525,0.9565217391304348,0.9592391304347826,0.9565217391304348,0.9557737260402057,0.8571428571428571,0.8663967611336033,0.8571428571428571,0.8457269700332962
Random Forest,ER_PR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8714285714285714,0.8913793103448275,0.8714285714285714,0.859303313508921
SVM,ER_PR,0.8656716417910447,0.8756053509050492,0.8656716417910447,0.8612724396450926,0.9565217391304348,0.9592391304347826,0.9565217391304348,0.9557737260402057,0.8714285714285714,0.8913793103448275,0.8714285714285714,0.859303313508921
Naive Bayes,ER_PR_HER2,0.8694029850746269,0.873437197131227,0.8694029850746269,0.871273280136425,0.8260869565217391,0.7876643073811932,0.8260869565217391,0.8064182194616976,0.7428571428571429,0.6848072562358276,0.7428571428571429,0.7048206031256878
Decision Tree,ER_PR_HER2,0.917910447761194,0.9154142865917326,0.917910447761194,0.9093574679792528,0.8695652173913043,0.8446241995281428,0.8695652173913043,0.8548136645962733,0.6714285714285714,0.6238095238095239,0.6714285714285714,0.6457142857142858
KNN,ER_PR_HER2,0.8507462686567164,0.8143600552246976,0.8507462686567164,0.8030849849115081,0.8260869565217391,0.7876643073811932,0.8260869565217391,0.8064182194616976,0.8,0.8405797101449276,0.8,0.7237903225806451
Logistic Regression,ER_PR_HER2,0.8731343283582089,0.875080837767405,0.8731343283582089,0.836713961058903,0.8913043478260869,0.8819875776397516,0.8913043478260869,0.8859204935684768,0.7857142857142857,0.6173469387755102,0.7857142857142857,0.6914285714285714
Random Forest,ER_PR_HER2,0.9104477611940298,0.9190105250639234,0.9104477611940298,0.8941678851450438,1.0,1.0,1.0,1.0,0.7714285714285715,0.6149068322981367,0.7714285714285715,0.6843317972350231
SVM,ER_PR_HER2,0.9925373134328358,0.9926024897347325,0.9925373134328358,0.9924603953914638,1.0,1.0,1.0,1.0,0.7428571428571429,0.6848072562358276,0.7428571428571429,0.7048206031256878
