Algorithm,classification,train_acc,train_prec,train_rec,train_f1,val_acc,val_prec,val_rec,val_f1,test_acc,test_prec,test_rec,test_f1
Naive Bayes,ER,0.7835820895522388,0.773877238935127,0.7835820895522388,0.7695849112645725,0.5217391304347826,0.5217391304347826,0.5217391304347826,0.5217391304347826,0.7,0.7760932944606415,0.7,0.7282922684791844
Decision Tree,ER,0.835820895522388,0.8416553595658074,0.835820895522388,0.8379453663360218,0.8478260869565217,0.8781252648529536,0.8478260869565217,0.8529063665393805,0.5285714285714286,0.7075032494387333,0.5285714285714286,0.5865534130218858
KNN,ER,0.7164179104477612,0.6851125727295725,0.7164179104477612,0.6717021362191737,0.7608695652173914,0.7525083612040133,0.7608695652173914,0.7328026127781179,0.7428571428571429,0.7029953917050692,0.7428571428571429,0.7214285714285715
Logistic Regression,ER,0.7313432835820896,0.7164994698637959,0.7313432835820896,0.676425564485266,0.7391304347826086,0.7246376811594202,0.7391304347826086,0.7014492753623188,0.7714285714285715,0.7377880184331798,0.7714285714285715,0.7523809523809523
Random Forest,ER,0.9216417910447762,0.9295151039063058,0.9216417910447762,0.9177950920965547,0.9565217391304348,0.959079283887468,0.9565217391304348,0.9555082598560859,0.7857142857142857,0.6801705756929638,0.7857142857142857,0.729142857142857
SVM,ER,0.8097014925373134,0.8503091238368826,0.8097014925373134,0.7765465477117773,0.8260869565217391,0.8608695652173913,0.8260869565217391,0.8009661835748794,0.8142857142857143,0.7696703296703297,0.8142857142857143,0.7813349730135957
Naive Bayes,ER_HER2,0.8656716417910447,0.8712342621719504,0.8656716417910447,0.8681985421728566,0.8043478260869565,0.7851966873706004,0.8043478260869565,0.7946568884232583,0.7714285714285715,0.7142857142857143,0.7714285714285715,0.7238095238095238
Decision Tree,ER_HER2,0.9253731343283582,0.9240094455502134,0.9253731343283582,0.9246039539146373,0.9130434782608695,0.9015840916750927,0.9130434782608695,0.9032091097308489,0.6285714285714286,0.6285714285714286,0.6285714285714286,0.6285714285714286
KNN,ER_HER2,0.8731343283582089,0.8896608909475611,0.8731343283582089,0.8326222371747819,0.8695652173913043,0.8446241995281428,0.8695652173913043,0.8548136645962733,0.8,0.8405797101449276,0.8,0.7237903225806451
Logistic Regression,ER_HER2,0.8731343283582089,0.875080837767405,0.8731343283582089,0.836713961058903,0.8913043478260869,0.8819875776397516,0.8913043478260869,0.8859204935684768,0.7714285714285715,0.6149068322981367,0.7714285714285715,0.6843317972350231
Random Forest,ER_HER2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7571428571428571,0.6123949579831933,0.7571428571428571,0.6771196283391405
SVM,ER_HER2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7857142857142857,0.7455357142857143,0.7857142857142857,0.7478991596638657
Naive Bayes,ER_HER2_PR,0.8731343283582089,0.873813252154488,0.8731343283582089,0.87159381663113,0.6739130434782609,0.6788958461945498,0.6739130434782609,0.676090306156629,0.8142857142857143,0.8107142857142857,0.8142857142857143,0.801904761904762
Decision Tree,ER_HER2_PR,0.8843283582089553,0.8878442199897507,0.8843283582089553,0.8821695717218107,0.9347826086956522,0.9407114624505929,0.9347826086956522,0.9329620903833797,0.8,0.8174863387978141,0.8,0.7709090909090908
KNN,ER_HER2_PR,0.746268656716418,0.7525658472344161,0.746268656716418,0.7318797515565628,0.8043478260869565,0.8063241106719368,0.8043478260869565,0.7937569676700111,0.7571428571428571,0.743103448275862,0.7571428571428571,0.7342395921835175
Logistic Regression,ER_HER2_PR,0.8656716417910447,0.8717688730261735,0.8656716417910447,0.8621652915828525,0.9565217391304348,0.9592391304347826,0.9565217391304348,0.9557737260402057,0.8571428571428571,0.8663967611336033,0.8571428571428571,0.8457269700332962
Random Forest,ER_HER2_PR,0.9850746268656716,0.9854342744110773,0.9850746268656716,0.9850221220352271,1.0,1.0,1.0,1.0,0.8142857142857143,0.8172413793103448,0.8142857142857143,0.7967714528462191
SVM,ER_HER2_PR,0.8656716417910447,0.8756053509050492,0.8656716417910447,0.8612724396450926,0.9565217391304348,0.9592391304347826,0.9565217391304348,0.9557737260402057,0.8714285714285714,0.8913793103448275,0.8714285714285714,0.859303313508921
