Algorithm,classification,train_acc,train_prec,train_rec,train_f1,val_acc,val_prec,val_rec,val_f1,test_acc,test_prec,test_rec,test_f1
Naive Bayes,HER2,0.8582089552238806,0.8670676175299491,0.8582089552238806,0.8620932472378369,0.8043478260869565,0.7851966873706004,0.8043478260869565,0.7946568884232583,0.7571428571428571,0.6975446428571429,0.7571428571428571,0.7142857142857142
Decision Tree,HER2,0.8731343283582089,0.8896608909475611,0.8731343283582089,0.8326222371747819,0.9130434782608695,0.9207729468599034,0.9130434782608695,0.8860802157061004,0.7428571428571429,0.6098081023454157,0.7428571428571429,0.6697892271662764
KNN,HER2,0.8656716417910447,0.8548121682450041,0.8656716417910447,0.8271088999447208,0.8695652173913043,0.8446241995281428,0.8695652173913043,0.8548136645962733,0.7857142857142857,0.7310924369747899,0.7857142857142857,0.7151055544168887
Logistic Regression,HER2,0.8768656716417911,0.8719342739427861,0.8768656716417911,0.8468745572500791,0.8913043478260869,0.8819875776397516,0.8913043478260869,0.8859204935684768,0.7714285714285715,0.6149068322981367,0.7714285714285715,0.6843317972350231
Random Forest,HER2,0.9888059701492538,0.9889519792342634,0.9888059701492538,0.9886301671709591,1.0,1.0,1.0,1.0,0.7714285714285715,0.6149068322981367,0.7714285714285715,0.6843317972350231
SVM,HER2,0.996268656716418,0.9962850222571353,0.996268656716418,0.9962497241104208,1.0,1.0,1.0,1.0,0.7142857142857143,0.6843495487563285,0.7142857142857143,0.697320223636013
Naive Bayes,HER2_PR,0.7089552238805971,0.7039687924016282,0.7089552238805971,0.7031122196937181,0.6086956521739131,0.6086956521739131,0.6086956521739131,0.6086956521739131,0.7428571428571429,0.7364293085655316,0.7428571428571429,0.7390000000000001
Decision Tree,HER2_PR,0.9888059701492538,0.9891140627139532,0.9888059701492538,0.988831759481229,0.9782608695652174,0.9789621318373072,0.9782608695652174,0.9780884280229003,0.5714285714285714,0.6046511627906976,0.5714285714285714,0.5842391304347826
KNN,HER2_PR,0.6828358208955224,0.6759554558812157,0.6828358208955224,0.6695233659730296,0.717391304347826,0.7136044880785414,0.717391304347826,0.715149564297703,0.7285714285714285,0.7089285714285715,0.7285714285714285,0.7104761904761905
Logistic Regression,HER2_PR,0.7089552238805971,0.7050888648860959,0.7089552238805971,0.6973004228253405,0.717391304347826,0.7058159232072275,0.717391304347826,0.7020933977455717,0.6571428571428571,0.6764444444444445,0.6571428571428571,0.6647548566142462
Random Forest,HER2_PR,0.9664179104477612,0.9681853888452474,0.9664179104477612,0.9661272919121607,1.0,1.0,1.0,1.0,0.7285714285714285,0.7089285714285715,0.7285714285714285,0.7104761904761905
SVM,HER2_PR,0.6194029850746269,0.7664518317503392,0.6194029850746269,0.48850880042807726,0.6739130434782609,0.782608695652174,0.6739130434782609,0.5626598465473146,0.7,0.48999999999999994,0.7,0.5764705882352941
Naive Bayes,HER2_PR_ER,0.8880597014925373,0.8865064479774435,0.8880597014925373,0.886758158618751,0.6739130434782609,0.6949466443248964,0.6739130434782609,0.6816729128825328,0.7571428571428571,0.8104968303110718,0.7571428571428571,0.7767640468439523
Decision Tree,HER2_PR_ER,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7857142857142857,0.7785604226282192,0.7857142857142857,0.7819716515368689
KNN,HER2_PR_ER,0.7574626865671642,0.7438065486520884,0.7574626865671642,0.7318477593723933,0.8260869565217391,0.8338100686498856,0.8260869565217391,0.8098249576510446,0.7571428571428571,0.7650279545016387,0.7571428571428571,0.7609440993788821
Logistic Regression,HER2_PR_ER,0.8805970149253731,0.8973347547974413,0.8805970149253731,0.8838764976615052,0.9565217391304348,0.9619565217391305,0.9565217391304348,0.9572697522206638,0.8714285714285714,0.926530612244898,0.8714285714285714,0.8835538293482219
Random Forest,HER2_PR_ER,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.7725806451612903,0.8,0.7833333333333333
SVM,HER2_PR_ER,0.8656716417910447,0.8910496434668028,0.8656716417910447,0.870070843936997,0.9565217391304348,0.9619565217391305,0.9565217391304348,0.9572697522206638,0.8714285714285714,0.926530612244898,0.8714285714285714,0.8835538293482219
