Subtype,acc,prec,rec,f1
ER,0.7714285714285715,0.7147321428571428,0.7714285714285715,0.7389539422326308
PR,0.7285714285714285,0.7089285714285715,0.7285714285714285,0.7104761904761905
HER2,0.7857142857142857,0.7455357142857143,0.7857142857142857,0.7478991596638657
