Subtype,acc,prec,rec,f1
ER,0.8,0.7333333333333334,0.8,0.7564516129032258
PR,0.7,0.6633333333333333,0.7,0.6619118082272861
HER2,0.7285714285714285,0.6071428571428571,0.7285714285714285,0.6623376623376623
