Subtype,acc,prec,rec,f1
ER,0.7005988023952096,0.6574243063169436,0.7005988023952096,0.6711022890088906
PR,0.6526946107784432,0.582656116338751,0.6526946107784432,0.5491863495231759
HER2,0.6946107784431138,0.6760482119009669,0.6946107784431138,0.6848914313329745
